,player_id,name,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_games_played,performance_career,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
725,303254,Fikayo Tomori,5,1997-12-19,Defender,50000000.0,50000000.0,2027-06-30,2022,1997,25,7,5,15,1,9550,1,115,971.104347826087,1,6,1,3128,0,3,10,1,6923,0,83,706.2909638554218,2,4,0,3795,0,45,391.53333333333336,1,1936.6619530295093,28.094319107914608
726,259025,Umut Bozok,449,1996-09-19,Attack,5500000.0,6000000.0,2025-06-30,2022,1996,26,5,25,5,0,4525,12,82,476.4682926829268,3,1,0,642,1,23,4,0,3183,8,53,338.3056603773585,8,3,0,1342,3,19,146.16315789473686,1,891.9519486483919,12.939161961154277
727,396894,Maxi Gómez,449,1996-08-14,Attack,7500000.0,40000000.0,2025-06-30,2022,1996,26,7,55,42,2,14721,23,195,1519.0992307692309,3,3,1,898,5,10,13,2,4597,10,65,477.9223076923077,5,9,1,2760,3,34,289.2176470588235,1,1765.785339366516,25.615485822209617
728,45671,Cenk Tosun,114,1991-06-07,Attack,2000000.0,23000000.0,2023-06-30,2022,1991,31,10,76,21,0,10403,17,211,1092.3303317535544,4,5,0,480,1,8,5,0,797,2,22,88.17272727272729,4,0,0,312,1,6,38.45000000000001,1,717.0355471084488,10.401725216252
729,80059,Serdar Dursun,36,1991-10-19,Attack,2800000.0,3500000.0,2024-06-30,2022,1991,31,3,18,4,0,2421,6,49,258.6408163265306,13,3,0,1773,5,18,3,0,2403,6,46,256.87391304347824,5,0,0,630,1,14,70.65,1,585.3296648252568,8.491124824962624
730,139503,Enner Valencia,36,1989-11-04,Attack,3000000.0,11000000.0,2023-06-30,2022,1989,33,8,59,16,1,10622,22,180,1108.401111111111,20,2,1,1804,6,38,9,1,4612,12,77,488.73961038961045,18,7,0,2808,6,42,298.2357142857143,1,1585.6668975468974,23.002585324120673
731,79110,Fodé Koita,10484,1990-10-21,Attack,200000.0,1200000.0,2023-06-30,2022,1990,32,10,31,17,0,8630,13,153,895.6405228758169,1,2,0,220,1,1,3,0,480,2,27,53.12777777777778,0,1,0,222,1,13,25.40769230769231,1,553.0758704122675,8.023232949841045
732,170953,Stéphane Bahoken,10484,1992-05-28,Attack,3300000.0,8000000.0,2024-06-30,2022,1992,30,7,35,18,0,9037,8,155,936.6303225806453,3,1,0,946,2,7,1,0,2794,4,58,293.0672413793104,3,0,0,1291,1,33,137.46212121212122,1,1045.4948112380762,15.16654200111913
733,456449,Sergio,11688,1995-04-06,Attack,1400000.0,1500000.0,2023-06-30,2022,1995,27,3,6,7,1,4293,7,54,445.75,4,4,1,2223,7,6,7,1,3819,7,48,397.7562500000001,2,3,0,1596,0,19,170.35000000000002,1,989.9149305555557,14.360268659800093
734,392538,Tommaso Pobega,5,1999-07-15,Midfield,18000000.0,18000000.0,2027-06-30,2022,1999,23,4,12,20,0,4271,6,74,440.57162162162166,1,2,0,586,0,9,18,0,3575,6,59,369.60932203389825,8,11,0,1937,4,27,204.1240740740741,1,978.9108244574714,14.200636841901613
